Created model with fresh parameters.
Num params: 344962
Number of params: 344962 (retreival took 1.876255 secs)
F1: 0.330123376623, EM: 0.32, for 100 samples
F1: 0.316134421134, EM: 0.32, for 100 samples
F1: 0.284188892948, EM: 0.28, for 100 samples
F1: 0.303210030166, EM: 0.28, for 100 samples
F1: 0.309533307907, EM: 0.29, for 100 samples
F1: 0.342006033183, EM: 0.34, for 100 samples
F1: 0.318385964912, EM: 0.3, for 100 samples
F1: 0.266239438865, EM: 0.27, for 100 samples
F1: 0.271046482929, EM: 0.26, for 100 samples
F1: 0.367408218694, EM: 0.39, for 100 samples
F1: 0.294919656292, EM: 0.29, for 100 samples
F1: 0.32775, EM: 0.34, for 100 samples
F1: 0.332954248366, EM: 0.35, for 100 samples
F1: 0.319714285714, EM: 0.34, for 100 samples
F1: 0.339246031746, EM: 0.33, for 100 samples
F1: 0.350333333333, EM: 0.34, for 100 samples
F1: 0.343055555556, EM: 0.34, for 100 samples
F1: 0.36721679198, EM: 0.33, for 100 samples
F1: 0.386352092352, EM: 0.35, for 100 samples
F1: 0.378461710703, EM: 0.34, for 100 samples
F1: 0.329822472849, EM: 0.33, for 100 samples
F1: 0.355666666667, EM: 0.36, for 100 samples
F1: 0.334568376068, EM: 0.33, for 100 samples
F1: 0.351136434027, EM: 0.35, for 100 samples
F1: 0.326153097798, EM: 0.32, for 100 samples
F1: 0.346714285714, EM: 0.38, for 100 samples
F1: 0.292547619048, EM: 0.28, for 100 samples
F1: 0.32031024531, EM: 0.33, for 100 samples
F1: 0.287904761905, EM: 0.29, for 100 samples
F1: 0.331225032278, EM: 0.34, for 100 samples
F1: 0.373476190476, EM: 0.36, for 100 samples
F1: 0.398745210728, EM: 0.39, for 100 samples
F1: 0.342523809524, EM: 0.33, for 100 samples
F1: 0.366603174603, EM: 0.33, for 100 samples
F1: 0.336262626263, EM: 0.32, for 100 samples
F1: 0.31519047619, EM: 0.36, for 100 samples
F1: 0.412857142857, EM: 0.4, for 100 samples
F1: 0.412111111111, EM: 0.39, for 100 samples
F1: 0.34450182944, EM: 0.33, for 100 samples
F1: 0.346, EM: 0.35, for 100 samples
F1: 0.35839869281, EM: 0.35, for 100 samples
F1: 0.365357142857, EM: 0.36, for 100 samples
F1: 0.362843137255, EM: 0.36, for 100 samples
F1: 0.42214657444, EM: 0.4, for 100 samples
F1: 0.384177489177, EM: 0.38, for 100 samples
F1: 0.418797546898, EM: 0.42, for 100 samples
F1: 0.361738095238, EM: 0.35, for 100 samples
F1: 0.408055555556, EM: 0.41, for 100 samples
F1: 0.400439393939, EM: 0.4, for 100 samples
F1: 0.377924826434, EM: 0.38, for 100 samples
F1: 0.399965329992, EM: 0.37, for 100 samples
F1: 0.350410208528, EM: 0.35, for 100 samples
